CHD1
AK5
USP33
FAM73A
TMED5
FCRL5
FCRL4
ZNF678
TTC13
EDARADD
LGALS8
LGALS8-AS1
HEATR1
KMO
DPP10
NXPH2
EPC2
CCDC148-AS1
CCDC148
PKP4
MIR1244-1
MIR1244-2
MIR1244-3
CNTN4
SRGAP3
THUMPD3
THUMPD3-AS1
FOXP1
ALG1L2
FAM86HP
COL6A6
PIK3R4
CPNE4
NPHP3-AS1
SLC7A14
TNIK
TBL1XR1
FGF12
BDH1
KIAA0226
SDHAP4
MIR922
HCN1
FST
HEXB
GFM2
GCNT4
POC5
ATG10
LINC00461
MEF2C
RGMB-AS1
RGMB
LOC100289230
PAM
GIN1
HSD17B4
PRR16
CD109
BCKDHB
CYB5R4
MRAP2
ZNF292
GRIK2
HACE1
LIN28B
NR2E1
AKD1
TPI1P3
BRD7P3
CEP85L
SELENOKP3
PLN
SDK1
POU6F2
HECW1
ZNF713
WBSCR17
ZP3
DTX2
DTX2P1-UPK3BP1-PMS2P11
POMZP3
UPK3B
SEMA3E
CNTNAP2
MCPH1
ZDHHC2
SLC7A2
STMN4
TRIM35
PTK2B
CHRNA2
EPHX2
MIR4287
HMBOX1
DCTN6
UNC5D
KCNU1
C8orf86
ADAM32
IDO2
C8orf4
CHRNA6
MIR4469
PXDNL
PCMTD1
RP1
PLAG1
CHCHD7
PENK
MYBL1
VCPIP1
HNF4G
FAM82B
CPNE3
SLC30A8
PTPRD
FRMPD2
ANXA11
EIF5AL1
TMEM254
BMS1P21
TMEM254-AS1
LINC00857
LOC642361
BEND3P3
MBL1P
PLAC9
SFTPA1
SFTPA2
SFTPD
FAM22A
FAM22D
LINC00863
NUTM2A-AS1
PAPSS2
ATAD1
CFL1P1
RNLS
FLJ37201
KIF20B
FRAT1
SFR1
DDX10
LOC374443
CLEC2D
LRP6
LOH12CR2
DUSP16
MIR613
ITPR2
LINC00327
POMP
USPL1
ALOX5AP
TEX26-AS1
C13orf33
TEX26
N4BP2L1
STOML3
CCDC122
MIR3665
RBM26
RBM26-AS1
SLITRK1
GPC5
MYO16
MIPOL1
DDX19A
TAT
MARVELD3
CMIP
LOC100129617
CA5A
ANKRD11
AFG3L1P
C16orf3
C16orf55
C16orf7
CDK10
CENPBD1
CHMP1A
CPNE7
DBNDD1
DEF8
DPEP1
GAS8
VPS9D1-AS1
URAHP
LOC100287036
RPL13
SNORD68
SPATA2L
SPG7
SPIRE2
TCF25
TUBB3
ZNF276
TUSC5
SLC43A2
KIAA0753
MED31
TXNDC17
C17orf100
MIR4520A
MIR4520B
ALOX15P1
ASGR2
ASGR1
GUCY2D
RAB5C
KCNH4
HCRT
GHDC
STAT3
PTRF
TUBG2
CCR10
CNTNAP1
PLEKHH3
EZH1
RAMP2-AS1
ARL4D
LINC00910
TMEM106A
MIR2117
PYY
NAGS
TMEM101
GPATCH8
MYOM1
TAF4B
ASXL3
DCC
DOK6
ZNF236-DT
MBP
LINC00114
BRWD1-IT2
IGSF5
MIR4760
DSCAM-AS1
FAM3B
MX2
TMPRSS2
DACH2
hsa-mir-922
hsa-mir-4287
hsa-mir-613
hsa-mir-2117
