0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4283,-0.512,-0.8442,-0.2927,-0.4086,0.2914,-0.8381,-0.253,-0.5485,-1.3651,0.4292,0.4705,-0.5112,-0.2486,-1.4251,0.0911,-0.2747,-0.1991,0.5528,0.5603,0.6816,-0.9712,0.5166,-1.3089,-0.0162,-0.6162,-0.3337,-1.4679,0.5254,-0.1456,-0.136,0.7051,-0.6145,-1.361,-0.8129,0.3382,-1.2609,1.6335,0.7632,-1.6262,-0.3639,1.1841,-0.7879,0.0474,-0.0985,0.5739,0.1768,1.1095,-1.0555,-1.0483,-2.9094,-1.9173,-0.7967,-0.6122,-0.4581,0.1734,1.0248,-1.2076,-0.612,0.5816,0.5297,1.1818,0.5606,1.1909,-1.0006,0.3766,-0.2433,1.4572,-0.8461,-0.5478,-1.1683,0.5601,-0.7623,-0.2673,-0.5901,-0.7573,0.5395,1.2306,0.876,1.4163,0.8343,-0.6841,0.5024,0.3541,0.208,-1.0057,0.6819,-0.0137,0.0582,-2.1412,-0.7629,-0.0508,1.0193,1.1433
0.242,-0.3831,-1.3391,-0.0916,0.7447,-0.0954,-0.0339,-0.7462,-1.5278,-1.1377,0.1921,0.8531,-1.0226,1.423,-1.4197,-0.1197,-1.3305,0.4032,0.5692,-0.4469,0.6368,-0.1962,-0.8496,-0.6078,-0.8821,-0.1793,-0.1765,0.3419,0.4118,0.2224,1.3516,-0.8347,-0.0,-0.8907,-0.1352,0.0863,-0.2213,0.7964,0.6673,-1.3271,0.1931,0.2448,1.0676,-0.2764,-2.0987,0.3284,-0.5808,-1.354,-0.4858,-0.5815,-0.384,-1.2908,-0.9513,-0.0524,-0.2048,-1.4516,0.4363,-1.3846,0.112,0.6217,1.3497,-0.7229,-0.0335,0.8244,-0.4154,-0.2206,-1.0804,0.1252,-0.6025,-0.3317,-0.3118,-0.226,1.5959,0.5599,-0.2817,-1.0918,0.415,-0.0222,0.1509,1.5275,0.7347,-0.6445,0.7436,0.0462,-0.748,-0.4256,1.486,-0.1768,1.4602,-0.5116,-0.5531,0.091,0.6671,-0.1248
0.2677,-0.5339,0.6232,0.138,0.033,-0.2553,0.198,3.4013,-1.2114,-0.1977,1.2218,-0.6791,0.054,-0.5559,-0.4651,1.8954,0.4575,-0.994,-0.5401,1.8459,-0.5446,0.3766,1.1224,-0.9251,0.159,-1.1025,2.1823,-0.402,-0.6543,-0.0653,-1.968,0.5376,-1.2204,-0.6396,-1.5368,0.5765,-0.4357,1.2489,1.4034,-0.2997,1.001,0.8355,0.0705,-0.2544,0.4566,-1.9097,-0.282,-1.2601,2.3154,0.1089,-0.8747,-0.8024,-0.4615,-1.0986,-1.1965,-0.4265,1.1096,-1.3968,0.5333,-0.8682,0.9001,-0.2305,0.2192,-0.2128,0.0297,-0.8148,-0.9472,-0.0234,1.3272,-0.4011,-0.0186,0.3019,-0.9329,1.8584,-0.5047,-0.6316,-0.215,0.81,0.1011,0.9093,-1.054,-0.0274,-0.5806,1.1727,-0.6945,1.034,-0.0137,-0.0137,1.5255,0.4414,-1.3008,0.9979,0.3411,0.0888
0.109,7.8479,1.7397,-0.8272,-1.2079,1.0921,1.6002,-0.2186,0.9518,1.9082,-1.1856,0.2025,2.7396,-1.3895,1.6323,-0.562,0.3839,-0.4178,-0.65,-0.1841,-1.3334,-0.6741,0.649,-0.8898,-0.5823,-0.0426,0.5933,-0.7416,-0.2367,3.0901,-0.7173,2.1443,0.5563,-0.9161,-0.9722,0.421,-1.9441,0.0375,-1.4392,0.7747,1.9121,1.981,-1.5446,0.9282,-0.9901,0.548,0.5199,-0.807,0.4382,0.1056,-1.6253,0.8028,0.5774,0.8593,-0.7822,-1.0375,0.2912,-0.1484,0.6891,-1.4688,-0.5033,2.6764,2.482,-0.3529,0.2399,1.1106,0.2071,0.8088,-1.2163,-0.6361,-0.4835,-1.0748,0.5605,0.995,0.8436,0.1744,-0.2623,0.2791,-1.7254,1.2697,0.9094,1.7319,-1.3187,-1.0523,0.8551,1.0519,-0.5877,1.4903,0.3272,-0.6745,1.4428,-1.18,-1.9199,3.5125
0.4789,-0.4215,-0.4009,-0.1013,-0.5441,-0.1584,-0.0527,-0.3118,0.3847,0.0179,-0.5639,-0.1915,0.0537,-0.3606,0.3345,-0.427,-0.79,0.1486,-0.2987,1.0681,-1.5215,-0.3222,0.495,-0.0125,-0.5093,0.3018,1.1441,0.056,0.7528,-0.5557,-0.0667,-0.083,0.7547,-0.2424,0.4439,-0.2456,-0.0695,-0.9461,-0.2234,-0.1842,0.133,0.3304,-0.1533,0.8419,-0.1578,-0.2026,-0.9943,0.7073,0.1363,0.1938,-0.066,0.5993,0.3324,0.2567,-0.0996,1.6205,1.3446,-0.982,0.733,-0.6082,0.0404,0.75,0.6994,-0.1817,1.377,0.738,-0.0927,0.2969,-0.6484,-0.2456,0.0364,-0.0003,-0.1096,-0.7086,1.1969,0.2885,0.5638,-0.3371,-1.2152,0.4966,0.3859,-0.4062,-0.424,-0.323,0.5111,1.2788,-0.6297,1.0568,0.2518,0.7552,0.2045,-0.7804,0.3957,-0.4496
0.05,0.5207,-0.8813,-0.7129,-0.1792,-0.0226,0.1754,-0.5268,-1.0829,0.0469,-0.5725,1.2323,-0.3925,-0.0183,-0.8077,-0.2621,-0.2355,0.069,-0.1331,0.6645,0.0044,-0.669,1.2864,-0.5361,-0.8579,0.3576,-0.345,-0.3811,0.6335,0.8302,-0.1463,-0.9548,-0.7183,-0.5752,-1.0454,-0.1502,-0.1721,1.1601,0.5735,-0.858,1.4689,1.4216,-0.2028,-0.0126,0.0315,-0.2991,1.141,-0.375,-0.5746,0.2869,0.2022,-0.1197,1.0324,-1.1878,-0.9246,0.9286,-0.1013,-0.8041,-0.0474,-0.1548,0.4224,-0.7053,0.6678,1.1667,-0.828,0.1814,0.3035,0.0423,0.1905,-0.8078,0.9215,0.1566,-0.6142,0.8891,0.2364,-0.185,-1.2033,0.6345,0.0741,1.1407,1.4234,-0.1893,0.5985,0.0035,0.6573,0.2022,0.8278,-1.9197,0.9544,0.6463,-0.3675,0.6546,0.742,1.8024
-0.0242,-0.4902,-0.0418,-0.475,-0.223,0.324,-0.6098,-0.5449,0.2763,0.629,-1.181,0.0955,0.9252,0.2184,1.4932,-0.4099,-0.5919,-0.3952,-1.0748,-0.6867,0.1986,0.1629,-0.3852,-0.6819,0.6326,0.5361,-0.0722,0.2807,-0.9195,-0.0851,-0.2773,0.8122,2.1813,0.5996,0.7904,-0.3453,-1.4867,-0.2787,-0.6081,-0.4312,-1.0599,0.9862,-0.4143,0.1384,-0.2464,-0.1495,-0.2238,0.1392,-0.6173,0.0732,-0.4133,-0.6981,-0.2495,0.4275,-0.9302,0.63,0.5888,0.1493,-1.9601,-0.7407,-0.2346,1.1325,0.3872,0.2942,-0.6354,-0.1903,1.3252,0.587,-0.9748,-0.5054,-0.0904,0.2686,0.2967,-0.199,0.7971,1.0495,0.6215,1.0969,-0.2905,2.0442,0.6883,1.1691,-0.5125,-0.0129,0.6102,-0.3001,0.1403,1.5085,0.24,-0.1708,0.8668,-0.7804,0.0824,-0.2182
-0.3221,-0.1034,1.1614,-0.5794,0.5572,-2.0681,-0.7701,-0.4063,0.295,0.0306,-0.8583,-0.6467,-0.5486,0.5946,0.6429,-1.1327,0.9715,-0.9826,-1.9926,0.1484,-0.0846,0.3596,-0.0652,1.2183,-0.0819,1.4111,-1.0256,-0.5845,-0.5144,0.0806,-0.4283,0.4775,-0.5727,-0.3043,0.4058,-1.5195,1.1523,-0.9283,0.1165,-0.2931,-0.9377,0.2018,-0.2207,0.0514,0.7807,-2.3262,1.3534,0.685,-0.4712,-0.4652,-0.0283,-0.7192,1.9021,-0.6234,-1.2903,-0.3956,0.3314,1.337,-0.91,1.2703,-0.5319,-0.6215,-0.0078,-0.2253,-0.5472,-1.0419,-0.3812,-0.3344,-0.4879,1.51,-0.1146,0.1393,1.2431,0.6356,-0.1564,0.3491,-1.1925,0.3008,1.2429,-0.8635,0.3075,0.8862,-0.8365,0.1882,1.3934,-0.9033,-0.598,0.2636,-0.6372,0.6343,-0.9558,0.2154,-0.6504,-0.4932
-0.6119,-0.5299,-0.5907,0.894,1.8163,-0.9095,-0.7686,0.3444,-1.0514,-0.8308,-0.0275,1.2382,-0.7671,0.1426,-0.0343,0.678,0.8607,0.5595,-0.0456,1.9452,-0.3402,1.1122,1.9227,-0.7469,3.4082,-0.5166,0.3007,0.0482,-1.6063,1.6728,-0.7325,-1.4536,-0.1527,2.5681,-0.9956,1.4068,-0.9627,-0.0963,1.0028,-0.5498,-0.4206,-0.2281,-1.1066,-0.4623,1.6484,-1.2868,-0.9832,-0.1998,0.0984,0.2628,0.2571,-0.7782,-0.7054,-0.1523,0.6826,-0.1982,1.4251,-0.295,-0.3639,-0.1723,1.8835,-0.0981,-0.3524,0.9013,0.7095,-1.1892,-0.0079,0.2573,1.8091,-0.265,0.0172,0.7608,0.4814,1.5298,-0.3876,0.1822,2.1518,0.5816,0.4094,1.4251,1.1626,-0.3062,-0.5457,2.3002,-0.0155,1.0982,-1.4541,-0.3679,0.3999,0.8103,0.3947,1.3745,1.0225,-0.7597
