Creatine
Carnitine
Acetylcarnitine
Betaine
Glycine
Serine
Proline
Alanine
Valine
Leucine
Isoleucine
Methionine
Phenylalanine
Tyrosine
Tryptophan
Histidine
Lysine
Ornithine
Citrulline
Taurine
Hypoxanthine
Xanthine
Inosine
Uridine
Linoleate
Oleate
Stearate
Myristate
Cholesterol
Bilirubin
Biliverdin
Pantothenate
Niacinamide
Urate
