C17orf82
PTPN9
GPA33
CR2
HIST2H2BF
ID1
HGD
ZIK1
MSMB
VSTM2L
ZNF697
CNTN4
OR2L13
FTH1
PRR16
LBX2
IL5RA
PLXNB1
FUT9
NPTXR
KISS1
C14orf167
PARP14
ZCCHC9
PSPN
CYP1B1
NCRNA00116
CALD1
HS3ST4
CORIN
SERINC4
SLC9A3
HEXA
KIF12
TSKU
S1PR1
CLMN
ZNF302
FMN2
VASP
SLC45A2
ZMYND10
ARFIP2
APOD
ST6GALNAC4
GDF11
SHISA9
PCDH18
KIF21A
PTGES
PKP1
MYOT
HRH2
ZNF655
DPEP1
DCPS
FREM2
HERC2P2
LIN7A
EPHA3
KIAA0408
ZNF589
LRP1
ING5
HELB
ZNF606
PF4V1
SNPH
CPNE2
CHRNA6
ZNF200
C17orf47
PPYR1
CDH4
C6orf41
MYO1C
TEP1
NR3C1
TRIM32
HCP5
TP53I3
IRX3
LITAF
C6orf147
FEN1
WDR33
HSPB1
ZNF654
LDB2
CDH15
EGR1
MNS1
C1GALT1C1L
RAB6C
SLAMF9
C1orf21
PARP6
ME3
KLF13
NPY5R
ACN9
PCDH9
LOC399815
MATK
MEF2B
TSPAN14
PCNT
NKX2-2
BCL8
FOXD3
YEATS4
SLC6A17
NRSN1
BTN3A3
NDST1
CLEC4E
ONECUT2
ACTBL2
SLC44A1
C9orf68
NELF
FAM5B
HTT
ZBTB24
SERPINA5
FKBP15
NFIB
HOXB13
PFDN4
MTERFD2
PIWIL1
TMEM81
C12orf5
ASPHD1
HPDL
AFARP1
KAZALD1
CALM2
WTIP
C7orf47
LPPR3
OXSR1
ERP27
PLD1
TMEM105
PHGR1
KLRC2
DDT
DENND5B
ZNF75A
FAM81B
LINC01622
TDRD1
FGF9
NEU4
OR2A4
FAM171A1
LDHA
PECR
ZFP37
RAMP1
FAM118A
ZNF653
AGER
LARRPM
GOLGA8B
FAM86B2
LRRC49
TMEM138
AOAH
NDUFAF1
POGZ
STARD3
FAM78B
NUDT3
HGS
STC1
SERPINB13
PTPRK
KCTD8
FLG2
AGER
ASGR1
SEMG2
ARHGDIB
HIGD1B
CELSR3
PIP4K2C
HLA-DMB
GATA6
C12orf42
ZDHHC11
TBX4
PDK4
EFNB2
C1orf128
IL1R1
NOC2LP2
PRRT2
OSBPL9
PHLDB2
CEACAM4
TM2D3
C2orf55
S100A9
TNFRSF10A
LUZP6
ZNF341
PYGO1
GHDC
C6orf64
ELAC1
AGAP4
PCID2
C10orf93
TSSK1B
SLC16A6
CWH43
DICER1
WDR17
PKM2
WNT3
HMGCS2
TMEM163
SPEF2
SNRPB2
F5
LOC100133985
C8orf77
CRTAP
APLNR
PCDHA13
DEM1
GHR
C1QTNF9B
C4orf19
APC2
GREB1L
IRX2
PTPRH
STEAP4
C5orf58
LDHAL6A
BCMO1
PTPRA
NMNAT2
SMARCD2
LRRC37B2
SLC18A3
IRAK1BP1
