-0.518,-0.518,-0.448,0.475,0.443,0.443,-0.476,-0.476,-0.476,-0.476,0.476,0.055,0.541,0.056,0.482,0.477,-0.441,-0.056,-0.446,0.449,0.449,0.423,0.454,0.454,0.454,0.454,0.447,0.447,0.465,0.005,0.385,-0.474,-0.461,-0.462,-0.024,0.007,-0.452,-0.026,-0.973,-0.007,-0.023,-0.023,0.0,0.0,0.0,0.0,-0.412,-0.412,0.5,-0.015,1.18,0.032,0.032,-0.525,-0.525,-0.531,3.66,3.66,-0.534,-0.534,3.66,-0.485,-0.927,-0.927,-0.154,-0.481,-0.073,0.379,0.879,0.879,-0.469,-0.469,-0.469,-0.469
-0.023,-0.023,-0.023,-0.016,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.058,-0.029,-0.029,-0.029,0.019,0.019,0.019,0.013,0.013,0.011,0.011,0.014,0.014,0.014,0.014,0.014,0.026,0.026,0.026,-0.022,-0.022,0.014,0.014,0.014,0.018,0.023,-0.172,-0.172,-0.172,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.015,-0.015,0.025,0.025,-0.636,-0.644,-0.644,-0.644,2.93,2.93,-0.641,-0.641,1.34,1.69,-0.012,-0.012,-0.017,-0.045,0.02,0.02,0.011,0.011,0.011,0.008,0.008,0.008
0.0,0.0,0.0,0.004,0.009,0.009,0.009,0.009,0.009,0.009,-0.003,-0.006,-0.006,-0.006,-0.638,0.029,0.021,-0.02,-0.01,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,0.017,0.017,0.973,0.325,0.326,0.009,0.021,0.021,0.014,0.002,0.012,-0.652,-0.652,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,-0.015,0.027,0.005,0.036,0.036,-0.023,0.027,-0.649,-0.669,-0.669,0.289,0.289,0.289,0.289,0.289,0.289,0.289,0.013,0.013,1.12,-0.014,-0.028,-0.028,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02
-0.015,-0.379,-0.362,-0.009,-0.371,-0.371,-0.371,-0.371,-0.371,-0.371,-0.004,0.02,0.02,0.02,-0.007,-0.007,-0.007,-0.005,-0.005,0.351,0.351,0.351,0.351,0.351,0.351,0.351,0.321,0.321,0.352,-0.368,-0.009,0.347,0.347,0.347,-0.007,-0.007,-0.007,-0.007,-0.007,0.396,0.394,0.394,0.394,0.394,-0.375,-0.375,0.023,0.023,0.057,0.057,-0.376,0.391,-0.371,-0.385,-0.385,-0.385,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,0.0,0.0,0.305,-0.013,-0.019,-0.019,0.065,0.065,0.065,0.065,0.065,0.065
-0.412,-0.415,-0.004,0.008,0.008,0.008,0.008,-0.468,-0.468,-0.468,0.887,-0.013,-0.013,-0.013,-0.018,-0.018,-0.018,-0.015,-0.031,0.049,0.049,0.049,0.049,0.049,0.049,0.049,-0.011,-0.011,0.456,0.009,0.031,0.002,0.013,0.013,0.008,0.021,-0.011,-0.458,-0.458,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.043,-0.028,-0.028,-0.001,0.016,0.002,0.305,-0.458,-0.453,-0.453,-0.453,0.465,0.465,0.465,0.465,0.465,0.465,0.006,0.006,0.024,0.014,0.056,0.042,-0.101,-0.101,-0.101,-0.092,-0.092,0.346
-0.022,-0.022,-0.022,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.029,0.39,0.39,0.39,0.41,0.41,0.415,-0.067,0.277,0.423,0.423,0.423,-0.051,-0.051,-0.051,-0.051,0.443,0.443,1.05,-0.509,-0.5,0.457,-0.505,-0.516,-0.044,0.877,1.64,0.449,-0.518,1.18,-0.507,-0.432,-0.357,3.66,-0.504,-0.514,0.355,-0.2,0.052,0.052,-0.053,0.436,0.436,-0.498,-0.541,-0.541,0.748,0.308,-0.412,-0.412,0.449,0.447,-0.051,-0.051,-0.441,0.44,1.39,-0.512,0.112,0.112,0.112,0.112,0.112,0.112
-0.561,-0.591,0.161,1.74,1.09,1.09,0.886,0.886,-0.555,-0.555,0.535,-0.661,-1.01,-1.01,-0.821,-0.803,-0.748,0.751,-0.664,-0.435,0.116,0.283,-0.399,-0.17,-1.29,-1.29,-0.527,-0.527,-0.734,-0.561,-0.617,0.954,-0.677,1.23,-0.185,-0.133,1.46,0.615,-1.22,1.41,-0.586,-0.589,-0.589,-0.589,0.174,0.202,0.732,0.745,0.767,0.92,-0.231,-0.315,-0.429,-0.611,-0.611,-0.611,0.169,0.169,0.169,0.169,1.05,0.744,-0.321,-0.321,0.306,1.0,0.035,-0.405,1.19,0.157,0.157,0.157,0.157,-0.901
-0.027,-0.027,-0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.019,0.019,0.019,0.013,0.013,0.013,0.003,-0.004,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,-0.009,-0.009,-0.013,-0.007,-0.007,-0.079,3.66,-0.707,-0.707,-0.707,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.007,-0.707,-0.707,-0.007,-0.007,-0.026,-0.031,-0.031,-0.764,-0.735,-0.735,-0.059,-0.059,-0.059,-0.059,-0.059,-0.059,0.004,0.004,-0.124,-0.018,-0.067,-0.067,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017
-0.364,-0.364,0.123,0.335,-0.476,-0.476,-0.462,-0.462,-0.462,-0.462,3.66,-0.511,-0.933,-0.933,-0.496,-0.496,-0.476,-0.146,1.52,0.309,0.302,0.296,0.415,0.501,-0.007,-0.007,-0.316,-0.316,0.653,-0.483,-0.506,0.272,-0.086,-0.23,-0.51,0.611,0.327,-0.438,-0.438,1.13,-0.491,-0.491,-0.491,-0.487,-0.512,-0.136,0.278,-0.478,-0.485,0.245,-0.451,-0.073,-0.484,-0.515,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,-0.493,1.19,-0.63,-0.63,-0.152,1.01,-0.104,-0.111,0.0,0.0,0.018,-0.445,-0.445,-0.088
-0.04,-0.041,-0.041,-0.043,-0.043,-0.043,-0.043,0.003,0.012,0.012,0.012,0.033,0.033,0.033,0.021,-0.142,-0.14,0.025,-0.04,0.029,0.029,0.029,0.029,-0.002,-0.002,-0.002,-0.137,-0.137,0.618,-0.056,-0.056,0.128,0.128,0.263,-0.098,-0.037,-0.037,-0.037,-0.037,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.18,-0.18,-0.067,-0.078,-0.116,0.008,0.008,-0.085,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-0.105,-0.105,0.1,0.036,-0.107,-0.107,0.034,0.034,0.034,0.034,0.034,0.034
