"AHNAK_dnamethy"
"AKAP13_dnamethy"
"AKAP9_dnamethy"
"ANPEP_dnamethy"
"ARID1A_dnamethy"
"ARID2_dnamethy"
"ASB15_dnamethy"
"ATM_dnamethy"
"BAP1_dnamethy"
"BTNL3_dnamethy"
"CARD11_dnamethy"
"CCDC168_dnamethy"
"CCNB2_dnamethy"
"CNOT1_dnamethy"
"COL11A1_dnamethy"
"CSMD3_dnamethy"
"CUBN_dnamethy"
"CUL3_dnamethy"
"CUL7_dnamethy"
"FAM111B_dnamethy"
"FAT1_dnamethy"
"FLCN_dnamethy"
"FMN2_dnamethy"
"KEAP1_dnamethy"
"KMT2D_dnamethy"
"LRP1B_dnamethy"
"LRRK2_dnamethy"
"MED13_dnamethy"
"MET_dnamethy"
"MSR1_dnamethy"
"MTOR_dnamethy"
"NAV3_dnamethy"
"NF2_dnamethy"
"NFE2L2_dnamethy"
"NPNT_dnamethy"
"NRXN1_dnamethy"
"PBRM1_dnamethy"
"PIEZO2_dnamethy"
"PIK3CA_dnamethy"
"PLEC_dnamethy"
"PTEN_dnamethy"
"RADIL_dnamethy"
"RHEB_dnamethy"
"RYR1_dnamethy"
"SETD2_dnamethy"
"SLITRK6_dnamethy"
"SMARCB1_dnamethy"
"SPTBN4_dnamethy"
"SYNE2_dnamethy"
"TP53_dnamethy"
"TRIM37_dnamethy"
"TRIO_dnamethy"
"TRRAP_dnamethy"
"TSC1_dnamethy"
"TSC2_dnamethy"
"TXNIP_dnamethy"
"VHL_dnamethy"
"WDFY3_dnamethy"
"ZFHX4_dnamethy"
"ZNF804A_dnamethy"
