"CUL3"
"TRIO"
"MSR1"
"CUL7"
"SYNE2"
"KMT2C"
"COL11A1"
"NAV3"
"KEAP1"
"FAT1"
"ZFHX4"
"SMARCB1"
"STAG2"
"TSC2"
"MET"
"RHEB"
"CUBN"
"TRIM37"
"MED13"
"NFE2L2"
"ARID1A"
"PIK3CA"
"AHNAK"
"CNOT1"
"KDM5C"
"AKAP9"
"VHL"
"TP53"
"KDM6A"
"ATM"
"ELOC"
"FLCN"
"PIEZO2"
"FMN2"
"CCNB2"
"RADIL"
"SPTBN4"
"SHANK1"
"WDFY3"
"BAP1"
"PBRM1"
"FAT3"
"TSC1"
"ANPEP"
"KMT2D"
"LRP1B"
"NPNT"
"ZNF804A"
"AKAP13"
"PTEN"
"CCDC168"
"PLEC"
"NRXN1"
"SETD2"
"NF2"
"LRRK2"
"FAM111B"
"ARID2"
"RYR1"
"TRRAP"
"CARD11"
"MTOR"
"ZNF469"
"TXNIP"
