MTOR
ARID1A
NRAS
VHL
TGFBR2
MLH1
CTNNB1
SETD2
BAP1
PBRM1
PIK3CA
FBXW7
CASP3
FAT1
MAP3K1
PIK3R1
APC
CDKN1A
ESR1
PMS2
ETV1
EGFR
MET
BRAF
RHEB
KMT2C
ZNF703
FGFR1
MYC
TGFBR1
TSC1
GATA3
PTEN
TCF7L2
HRAS
CCND1
PGR
ATM
FLI1
KRAS
ARID2
KMT2D
ERBB3
MDM2
NCOR2
POLE
BRCA2
RB1
FOXA1
AKT1
MAP2K1
TSC2
CDH1
TP53
NCOR1
FLCN
CDK12
ERBB2
BRCA1
ETV4
SPOP
SOX9
SMAD2
SMAD4
KEAP1
ERG
SMARCB1
NF2
KDM6A
KDM5C
AR
MED12
ZMYM3
STAG2
