2-Hydroxyglutarate
L-Lactate
Succinate
Fumarate
Citrate
Alpha-Ketoglutarate
Glutamate
Glutamine
Kynurenine
Choline
Phosphocholine
Itaconate
Aspartate
Malate
Pyruvate
Glucose-6-Phosphate
Palmitate
Arginine
S-Adenosylmethionine
Uracil
